location,Raleigh
lat,35.66653
lon,-78.75000
asl,93.141
variable,Temperature
unit,°F
level,2 m elevation corrected
resolution,hourly
aggregation,None
timestamp,Raleigh Temperature [2 m elevation corrected]
20210122T0000,43.594547
20210122T0100,42.676544
20210122T0200,42.136547
20210122T0300,41.722546
20210122T0400,41.362545
20210122T0500,41.146545
20210122T0600,41.074547
20210122T0700,38.26655
20210122T0800,40.444546
20210122T0900,45.01655
20210122T1000,49.678547
20210122T1100,52.756546
20210122T1200,55.294548
20210122T1300,57.022545
20210122T1400,58.192543
20210122T1500,58.678547
20210122T1600,58.336548
20210122T1700,56.896545
20210122T1800,52.594543
20210122T1900,50.596546
20210122T2000,48.346546
20210122T2100,44.746544
20210122T2200,41.038548
20210122T2300,38.572548
20210123T0000,35.836548
20210123T0100,33.100548
20210123T0200,30.220547
20210123T0300,28.330547
20210123T0400,27.538548
20210123T0500,26.818546
20210123T0600,26.512547
20210123T0700,26.332546
20210123T0800,30.004547
20210123T0900,36.610546
20210123T1000,39.472546
20210123T1100,42.010548
20210123T1200,43.360546
20210123T1300,44.278545
20210123T1400,44.764545
20210123T1500,44.58455
20210123T1600,43.540546
20210123T1700,41.48855
20210123T1800,36.268547
20210123T1900,34.450546
20210123T2000,33.694546
20210123T2100,33.33455
20210123T2200,32.920547
20210123T2300,32.722546
20210124T0000,31.750547
20210124T0100,30.652548
20210124T0200,29.446547
20210124T0300,28.474546
20210124T0400,27.628548
20210124T0500,27.088547
20210124T0600,26.620548
20210124T0700,26.242546
20210124T0800,28.672546
20210124T0900,32.632545
20210124T1000,36.322548
20210124T1100,39.670547
20210124T1200,42.658546
20210124T1300,45.160545
20210124T1400,47.086548
20210124T1500,48.220543
20210124T1600,48.634544
20210124T1700,48.328545
20210124T1800,46.942547
20210124T1900,46.384544
20210124T2000,44.872547
20210124T2100,43.486546
20210124T2200,41.938545
20210124T2300,40.660545
20210125T0000,40.948547
20210125T0100,41.164547
20210125T0200,40.894547
20210125T0300,39.904545
20210125T0400,39.63455
20210125T0500,39.63455
20210125T0600,39.994545
20210125T0700,40.51655
20210125T0800,41.290546
20210125T0900,42.802547
20210125T1000,44.476547
20210125T1100,46.240547
20210125T1200,47.302547
20210125T1300,47.26655
20210125T1400,46.744545
20210125T1500,46.510544
20210125T1600,46.420547
20210125T1700,46.312546
20210125T1800,45.98855
20210125T1900,45.862545
20210125T2000,45.160545
20210125T2100,44.728546
20210125T2200,44.116547
20210125T2300,43.342545
20210126T0000,43.234547
20210126T0100,43.25255
20210126T0200,43.270546
20210126T0300,43.198547
20210126T0400,43.054546
20210126T0500,42.892548
20210126T0600,42.730545
20210126T0700,42.568546
20210126T0800,42.100548
20210126T0900,43.450546
20210126T1000,46.708546
20210126T1100,51.370544
20210126T1200,54.916546
20210126T1300,54.790546
20210126T1400,55.438545
20210126T1500,56.644547
20210126T1600,57.526546
20210126T1700,57.706547
20210126T1800,56.788544
20210126T1900,56.626545
20210126T2000,53.908546
20210126T2100,50.470543
20210126T2200,46.996548
20210126T2300,43.540546
20210127T0000,42.748547
20210127T0100,42.046547
20210127T0200,42.316547
20210127T0300,42.550545
20210127T0400,42.856544
20210127T0500,43.036545
20210127T0600,42.784546
20210127T0700,42.586548
20210127T0800,43.972546
20210127T0900,45.646545
20210127T1000,48.166546
20210127T1100,49.948547
20210127T1200,50.146545
20210127T1300,50.812546
20210127T1400,54.088547
20210127T1500,54.574547
20210127T1600,54.178547
20210127T1700,53.332546
20210127T1800,51.28055
20210127T1900,50.254547
20210127T2000,48.490547
20210127T2100,45.898544
20210127T2200,43.378548
20210127T2300,41.956547
20210128T0000,40.642548
20210128T0100,36.970547
20210128T0200,32.97455
20210128T0300,32.57855
20210128T0400,32.596546
20210128T0500,32.36255
20210128T0600,31.840548
20210128T0700,31.156548
20210128T0800,31.786547
20210128T0900,33.172546
20210128T1000,34.990547
20210128T1100,36.232548
20210128T1200,36.610546
20210128T1300,36.826546
20210128T1400,36.304546
20210128T1500,36.19655
20210128T1600,35.31455
20210128T1700,33.676548
20210128T1800,30.292547
20210128T1900,28.546547
20210128T2000,27.808548
20210128T2100,27.520546
20210128T2200,27.466547
20210128T2300,26.944548
20210129T0000,25.738548
20210129T0100,24.766546
20210129T0200,24.118546
20210129T0300,23.758547
20210129T0400,23.560547
20210129T0500,23.452547
20210129T0600,23.344547
20210129T0700,23.272547
20210129T0800,24.928547
20210129T0900,27.988548
20210129T1000,30.886547
20210129T1100,33.748547
20210129T1200,35.746548
20210129T1300,37.47455
20210129T1400,38.464546
20210129T1500,38.698547
20210129T1600,38.122547
20210129T1700,36.556545
20210129T1800,32.416546
20210129T1900,30.310547
20210129T2000,29.482548
20210129T2100,29.050547
20210129T2200,28.762547
20210129T2300,28.528547
