location,Santa Barbara
lat,34.66653
lon,-120.00000
asl,507.008
variable,Temperature
unit,°F
level,2 m elevation corrected
resolution,hourly
aggregation,None
timestamp,Santa Barbara Temperature [2 m elevation corrected]
20210122T0000,50.770493
20210122T0100,50.374493
20210122T0200,49.78049
20210122T0300,48.14249
20210122T0400,50.80649
20210122T0500,50.014492
20210122T0600,48.916492
20210122T0700,47.278492
20210122T0800,48.77249
20210122T0900,53.75849
20210122T1000,56.458492
20210122T1100,58.34849
20210122T1200,59.17649
20210122T1300,56.71049
20210122T1400,54.478493
20210122T1500,54.01049
20210122T1600,53.200493
20210122T1700,51.796494
20210122T1800,50.518494
20210122T1900,49.852493
20210122T2000,49.132492
20210122T2100,48.73649
20210122T2200,48.790493
20210122T2300,48.73649
20210123T0000,48.61049
20210123T0100,48.28649
20210123T0200,48.01649
20210123T0300,47.764492
20210123T0400,48.61049
20210123T0500,48.826492
20210123T0600,49.006493
20210123T0700,49.43849
20210123T0800,50.53649
20210123T0900,51.59849
20210123T1000,52.696495
20210123T1100,53.560493
20210123T1200,54.06449
20210123T1300,54.37049
20210123T1400,54.874493
20210123T1500,55.324493
20210123T1600,55.36049
20210123T1700,54.712494
20210123T1800,52.588493
20210123T1900,50.55449
20210123T2000,48.98849
20210123T2100,47.87249
20210123T2200,46.82849
20210123T2300,45.874493
20210124T0000,44.956493
20210124T0100,44.110493
20210124T0200,43.37249
20210124T0300,42.72449
20210124T0400,42.05849
20210124T0500,42.81449
20210124T0600,43.17449
20210124T0700,43.354492
20210124T0800,45.964493
20210124T0900,53.65049
20210124T1000,57.214493
20210124T1100,59.78849
20210124T1200,61.156494
20210124T1300,61.642494
20210124T1400,60.52649
20210124T1500,59.086494
20210124T1600,57.48449
20210124T1700,55.03649
20210124T1800,52.57049
20210124T1900,51.796494
20210124T2000,51.184494
20210124T2100,50.80649
20210124T2200,50.518494
20210124T2300,50.08649
20210125T0000,49.51049
20210125T0100,48.934494
20210125T0200,47.764492
20210125T0300,46.34249
20210125T0400,45.100494
20210125T0500,43.96649
20210125T0600,43.17449
20210125T0700,42.90449
20210125T0800,45.658493
20210125T0900,47.206493
20210125T1000,48.448494
20210125T1100,49.74449
20210125T1200,52.408493
20210125T1300,50.698494
20210125T1400,50.66249
20210125T1500,50.194492
20210125T1600,49.51049
20210125T1700,48.46649
20210125T1800,46.43249
20210125T1900,44.61449
20210125T2000,42.526493
20210125T2100,40.78049
20210125T2200,41.950493
20210125T2300,41.338493
20210126T0000,42.02249
20210126T0100,42.99449
20210126T0200,42.67049
20210126T0300,40.65449
20210126T0400,39.86249
20210126T0500,40.150494
20210126T0600,40.150494
20210126T0700,39.80849
20210126T0800,42.23849
20210126T0900,49.366493
20210126T1000,52.588493
20210126T1100,55.10849
20210126T1200,56.836494
20210126T1300,57.700493
20210126T1400,57.880493
20210126T1500,57.430492
20210126T1600,56.08049
20210126T1700,53.074493
20210126T1800,50.26649
20210126T1900,49.96049
20210126T2000,49.906494
20210126T2100,50.66249
20210126T2200,49.78049
20210126T2300,48.14249
20210127T0000,47.08049
20210127T0100,46.180492
20210127T0200,45.226494
20210127T0300,44.200493
20210127T0400,44.16449
20210127T0500,45.94649
20210127T0600,47.458492
20210127T0700,48.646492
20210127T0800,49.70849
20210127T0900,50.518494
20210127T1000,50.86049
20210127T1100,51.32849
20210127T1200,51.418495
20210127T1300,51.796494
20210127T1400,52.138493
20210127T1500,52.17449
20210127T1600,52.012493
20210127T1700,52.156494
20210127T1800,52.138493
20210127T1900,51.95849
20210127T2000,51.94049
20210127T2100,51.976494
20210127T2200,51.778492
20210127T2300,51.58049
20210128T0000,51.32849
20210128T0100,51.20249
20210128T0200,51.20249
20210128T0300,51.130493
20210128T0400,51.004494
20210128T0500,51.32849
20210128T0600,51.382492
20210128T0700,51.256493
20210128T0800,51.36449
20210128T0900,51.778492
20210128T1000,52.12049
20210128T1100,52.39049
20210128T1200,52.534492
20210128T1300,52.768494
20210128T1400,53.11049
20210128T1500,53.65049
20210128T1600,54.100494
20210128T1700,53.83049
20210128T1800,53.57849
20210128T1900,53.52449
20210128T2000,53.27249
20210128T2100,52.948494
20210128T2200,52.49849
20210128T2300,51.83249
20210129T0000,51.184494
20210129T0100,50.698494
20210129T0200,50.500492
20210129T0300,50.30249
20210129T0400,50.068493
20210129T0500,49.978493
20210129T0600,50.014492
20210129T0700,49.906494
20210129T0800,50.78849
20210129T0900,51.670494
20210129T1000,51.724495
20210129T1100,51.544495
20210129T1200,51.83249
20210129T1300,52.318493
20210129T1400,52.21049
20210129T1500,52.408493
20210129T1600,52.48049
20210129T1700,52.55249
20210129T1800,51.76049
20210129T1900,51.616493
20210129T2000,51.65249
20210129T2100,51.868492
20210129T2200,51.976494
20210129T2300,51.88649
